Experiment: EH_20230112_CryptoMob_plate1  Selected Filter: SYBR Green I / HRM Dye (483-533)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	A1	Sample 1	18.79		0	
True	255	A2	Sample 2	20.97		0	
True	255	A3	Sample 3	13.95		0	
True	255	A4	Sample 4	22.42		0	
True	255	A5	Sample 5	17.35		0	
True	255	A6	Sample 6	23.44		0	
True	255	A7	Sample 7	18.50		0	
True	255	A8	Sample 8	20.82		0	
True	255	A9	Sample 9	13.95		0	
True	255	A10	Sample 10	22.44		0	
True	255	A11	Sample 11	17.40		0	
True	255	A12	Sample 12	22.71		0	
True	255	A13	Sample 13	18.40		0	
True	255	A14	Sample 14	20.77		0	
True	255	A15	Sample 15	13.83		0	
True	255	A16	Sample 16	22.45		0	
True	255	A17	Sample 17	16.99		0	
True	255	A18	Sample 18	23.80		0	
True	255	A19	Sample 19	31.55		0	
True	65280	A20	Sample 20			0	
True	65280	A21	Sample 21			0	
True	65280	A22	Sample 22			0	
True	65280	A23	Sample 23			0	
True	65280	A24	Sample 24			0	
True	255	B1	Sample 25	16.90		0	
True	255	B2	Sample 26	20.46		0	
True	255	B3	Sample 27	13.67		0	
True	255	B4	Sample 28	21.51		0	
True	255	B5	Sample 29	16.77		0	
True	255	B6	Sample 30	22.73		0	
True	255	B7	Sample 31	16.94		0	
True	255	B8	Sample 32	20.41		0	
True	255	B9	Sample 33	13.68		0	
True	255	B10	Sample 34	21.57		0	
True	255	B11	Sample 35	16.53		0	
True	255	B12	Sample 36	22.31		0	
True	255	B13	Sample 37	16.84		0	
True	255	B14	Sample 38	19.72		0	
True	255	B15	Sample 39	13.55		0	
True	255	B16	Sample 40	21.42		0	
True	255	B17	Sample 41	15.87		0	
True	255	B18	Sample 42	22.73		0	
True	255	B19	Sample 43	29.72		0	
True	65280	B20	Sample 44			0	
True	65280	B21	Sample 45			0	
True	65280	B22	Sample 46			0	
True	65280	B23	Sample 47			0	
True	65280	B24	Sample 48			0	
True	255	C1	Sample 49	17.45		0	
True	255	C2	Sample 50	20.39		0	
True	255	C3	Sample 51	12.49		0	
True	255	C4	Sample 52	20.67		0	
True	255	C5	Sample 53	15.80		0	
True	255	C6	Sample 54	21.53		0	
True	255	C7	Sample 55	16.88		0	
True	255	C8	Sample 56	19.77		0	
True	255	C9	Sample 57	12.46		0	
True	255	C10	Sample 58	20.58		0	
True	255	C11	Sample 59	15.74		0	
True	255	C12	Sample 60	20.88		0	
True	255	C13	Sample 61	17.47		0	
True	255	C14	Sample 62	19.66		0	
True	255	C15	Sample 63	11.97		0	
True	255	C16	Sample 64	20.75		0	
True	255	C17	Sample 65	15.56		0	
True	255	C18	Sample 66	21.78		0	
True	255	C19	Sample 67	31.32		0	
True	65280	C20	Sample 68			0	
True	65280	C21	Sample 69			0	
True	65280	C22	Sample 70			0	
True	65280	C23	Sample 71			0	
True	65280	C24	Sample 72			0	
True	255	D1	Sample 73	18.72		0	
True	255	D2	Sample 74	20.85		0	
True	255	D3	Sample 75	13.81		0	
True	255	D4	Sample 76	21.65		0	
True	255	D5	Sample 77	16.82		0	
True	255	D6	Sample 78	22.33		0	
True	255	D7	Sample 79	19.33		0	
True	255	D8	Sample 80	20.59		0	
True	255	D9	Sample 81	13.98		0	
True	255	D10	Sample 82	21.46		0	
True	255	D11	Sample 83	16.54		0	
True	255	D12	Sample 84	21.92		0	
True	255	D13	Sample 85	19.32		0	
True	255	D14	Sample 86	20.54		0	
True	255	D15	Sample 87	13.49		0	
True	255	D16	Sample 88	21.48		0	
True	255	D17	Sample 89	16.43		0	
